,Version,Test,Dataset,Variable,Response Time (s)
22,3.10.5,transect,riops_fc_3dps,sspeed,12.3014
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.8134
24,3.10.5,hovmoller,giops_day,votemper,6.5994
25,3.10.5,hovmoller,giops_day,vosaline,6.1658
26,3.10.5,hovmoller,giops_day,sspeed,7.0999
27,3.10.5,hovmoller,giops_day,magwatervel,7.9586
28,3.10.5,hovmoller,riops_fc_3dps,votemper,9.8454
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,11.0367
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,15.6709
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,17.5767
32,3.10.5,area,giops_day,votemper,4.2064
33,3.10.5,area,giops_day,vosaline,4.1452
34,3.10.5,area,giops_day,sspeed,4.0563
35,3.10.5,area,giops_day,magwatervel,3.9728
37,3.10.5,area,riops_fc_3dps,votemper,8.069
38,3.10.5,area,riops_fc_3dps,vosaline,8.24
39,3.10.5,area,riops_fc_3dps,sspeed,8.3376
40,3.10.5,area,riops_fc_3dps,magwatervel,7.4458
41,3.10.5,subset,giops_day,votemper,0.7491
42,3.10.5,subset,riops_fc_3dps,votemper,1.827
0,3.10.5,profile,giops_day,votemper,1.6713
1,3.10.5,profile,giops_day,vosaline,1.6104
2,3.10.5,profile,giops_day,sspeed,1.877
3,3.10.5,profile,giops_day,magwatervel,2.0741
4,3.10.5,profile,riops_fc_3dps,votemper,2.6286
5,3.10.5,profile,riops_fc_3dps,vosaline,2.4557
6,3.10.5,profile,riops_fc_3dps,sspeed,3.2668
7,3.10.5,profile,riops_fc_3dps,magwatervel,3.81
8,3.10.5,virtual mooring,giops_day,votemper,1.9642
9,3.10.5,virtual mooring,giops_day,vosaline,1.7283
10,3.10.5,virtual mooring,giops_day,sspeed,2.231
11,3.10.5,virtual mooring,giops_day,magwatervel,3.2044
12,3.10.5,virtual mooring,riops_fc_3dps,votemper,4.9444
13,3.10.5,virtual mooring,riops_fc_3dps,vosaline,4.2761
14,3.10.5,virtual mooring,riops_fc_3dps,sspeed,8.3713
15,3.10.5,virtual mooring,riops_fc_3dps,magwatervel,11.5565
16,3.10.5,transect,giops_day,votemper,9.0753
17,3.10.5,transect,giops_day,vosaline,8.4862
18,3.10.5,transect,giops_day,sspeed,8.9461
19,3.10.5,transect,giops_day,magwatervel,8.7799
20,3.10.5,transect,riops_fc_3dps,votemper,10.3622
21,3.10.5,transect,riops_fc_3dps,vosaline,10.2274
22,3.10.5,transect,riops_fc_3dps,sspeed,11.4119
23,3.10.5,transect,riops_fc_3dps,magwatervel,11.562
24,3.10.5,hovmoller,giops_day,votemper,6.6578
25,3.10.5,hovmoller,giops_day,vosaline,6.127
26,3.10.5,hovmoller,giops_day,sspeed,6.7009
27,3.10.5,hovmoller,giops_day,magwatervel,7.3738
28,3.10.5,hovmoller,riops_fc_3dps,votemper,9.8766
29,3.10.5,hovmoller,riops_fc_3dps,vosaline,10.2536
30,3.10.5,hovmoller,riops_fc_3dps,sspeed,14.2411
31,3.10.5,hovmoller,riops_fc_3dps,magwatervel,15.3247
32,3.10.5,area,giops_day,votemper,4.6196
33,3.10.5,area,giops_day,vosaline,4.1616
34,3.10.5,area,giops_day,sspeed,4.3577
35,3.10.5,area,giops_day,magwatervel,4.4949
